review_text,rating,helpful_yes,helpful_total,Time
"Poor build quality, stopped working",4,15,16,1511123313
Very good quality and value for money,3,12,21,1511199067
Not satisfied with the quality,4,20,24,1511274820
Very good quality and value for money,2,0,1,1511350574
Very good quality and value for money,3,7,21,1511426327
Very good quality and value for money,4,0,4,1511502080
"Great product, works perfectly",4,0,3,1511577834
Not satisfied with the quality,3,26,35,1511653587
Very good quality and value for money,5,2,5,1511729341
Exceeded my expectations,5,15,20,1511805094
Exceeded my expectations,4,11,12,1511880847
Fast delivery and excellent quality,4,33,36,1511956601
Packaging was damaged but product works,4,14,24,1512032354
"Average product, nothing special",2,0,25,1512108108
Fast delivery and excellent quality,3,30,38,1512183861
"Great product, works perfectly",1,3,19,1512259614
Exceeded my expectations,4,32,32,1512335368
Not satisfied with the quality,4,0,13,1512411121
Packaging was damaged but product works,2,17,35,1512486874
Packaging was damaged but product works,5,14,16,1512562628
"Average product, nothing special",5,12,20,1512638381
Not satisfied with the quality,5,15,45,1512714135
Decent product for the price,4,6,15,1512789888
"Average product, nothing special",5,44,45,1512865641
Packaging was damaged but product works,2,13,15,1512941395
"Great product, works perfectly",5,16,19,1513017148
"Poor build quality, stopped working",2,11,28,1513092902
"Poor build quality, stopped working",5,23,27,1513168655
Exceeded my expectations,3,7,7,1513244408
Packaging was damaged but product works,5,19,23,1513320162
"Great product, works perfectly",5,0,2,1513395915
"Average product, nothing special",2,23,24,1513471669
"Great product, works perfectly",4,14,18,1513547422
"Terrible experience, would not recommend",5,3,32,1513623175
"Average product, nothing special",4,1,1,1513698929
Very good quality and value for money,5,1,14,1513774682
"Average product, nothing special",4,17,21,1513850436
Exceeded my expectations,3,1,9,1513926189
"Poor build quality, stopped working",3,14,17,1514001942
"Average product, nothing special",2,18,21,1514077696
Very good quality and value for money,5,25,45,1514153449
"Terrible experience, would not recommend",3,19,48,1514229202
"Great product, works perfectly",4,9,26,1514304956
Not satisfied with the quality,4,11,12,1514380709
"Poor build quality, stopped working",4,19,32,1514456463
"Great product, works perfectly",5,2,4,1514532216
"Terrible experience, would not recommend",5,25,25,1514607969
Not satisfied with the quality,3,9,12,1514683723
Packaging was damaged but product works,5,22,26,1514759476
Fast delivery and excellent quality,5,4,13,1514835230
Exceeded my expectations,4,8,23,1514910983
"Great product, works perfectly",5,2,2,1514986736
Decent product for the price,2,44,46,1515062490
Not satisfied with the quality,2,17,48,1515138243
Packaging was damaged but product works,5,16,29,1515213997
Decent product for the price,3,26,34,1515289750
Fast delivery and excellent quality,5,5,47,1515365503
Fast delivery and excellent quality,5,9,13,1515441257
"Poor build quality, stopped working",1,1,11,1515517010
Decent product for the price,5,23,27,1515592763
"Poor build quality, stopped working",3,37,43,1515668517
"Poor build quality, stopped working",4,27,28,1515744270
"Poor build quality, stopped working",4,27,42,1515820024
"Poor build quality, stopped working",5,12,16,1515895777
Packaging was damaged but product works,1,38,39,1515971530
Exceeded my expectations,4,1,48,1516047284
"Average product, nothing special",4,13,20,1516123037
Packaging was damaged but product works,5,4,22,1516198791
"Terrible experience, would not recommend",4,17,19,1516274544
"Poor build quality, stopped working",2,10,10,1516350297
Not satisfied with the quality,3,9,33,1516426051
Not satisfied with the quality,3,1,9,1516501804
Decent product for the price,5,6,9,1516577558
Decent product for the price,3,40,42,1516653311
"Terrible experience, would not recommend",2,4,5,1516729064
Packaging was damaged but product works,5,6,35,1516804818
Not satisfied with the quality,1,19,23,1516880571
Very good quality and value for money,5,1,11,1516956325
Very good quality and value for money,4,34,42,1517032078
"Average product, nothing special",5,1,22,1517107831
Very good quality and value for money,3,20,26,1517183585
"Great product, works perfectly",1,21,44,1517259338
"Poor build quality, stopped working",5,30,36,1517335091
"Terrible experience, would not recommend",5,2,5,1517410845
Decent product for the price,5,0,0,1517486598
"Great product, works perfectly",2,3,5,1517562352
Exceeded my expectations,5,23,49,1517638105
"Poor build quality, stopped working",5,19,21,1517713858
Not satisfied with the quality,4,38,40,1517789612
"Poor build quality, stopped working",5,21,23,1517865365
Decent product for the price,5,6,24,1517941119
Fast delivery and excellent quality,4,0,14,1518016872
Fast delivery and excellent quality,1,18,25,1518092625
"Great product, works perfectly",4,5,7,1518168379
Packaging was damaged but product works,1,15,23,1518244132
Not satisfied with the quality,3,34,47,1518319886
Decent product for the price,3,31,37,1518395639
Decent product for the price,1,5,5,1518471392
Decent product for the price,3,34,34,1518547146
Very good quality and value for money,2,29,41,1518622899
Decent product for the price,5,0,0,1518698653
Fast delivery and excellent quality,5,16,45,1518774406
Exceeded my expectations,1,28,35,1518850159
"Terrible experience, would not recommend",5,5,11,1518925913
"Poor build quality, stopped working",4,16,37,1519001666
"Terrible experience, would not recommend",3,0,10,1519077419
Fast delivery and excellent quality,1,7,11,1519153173
Fast delivery and excellent quality,4,36,41,1519228926
Exceeded my expectations,5,39,49,1519304680
"Average product, nothing special",5,38,38,1519380433
"Great product, works perfectly",1,6,6,1519456186
Very good quality and value for money,1,3,10,1519531940
Packaging was damaged but product works,3,13,35,1519607693
Decent product for the price,3,26,30,1519683447
Decent product for the price,2,18,32,1519759200
Exceeded my expectations,3,8,12,1519834953
"Average product, nothing special",5,5,17,1519910707
Decent product for the price,5,16,40,1519986460
Very good quality and value for money,3,18,23,1520062214
"Great product, works perfectly",5,3,8,1520137967
Very good quality and value for money,3,15,30,1520213720
"Average product, nothing special",4,10,40,1520289474
Fast delivery and excellent quality,2,5,9,1520365227
Very good quality and value for money,4,1,1,1520440980
"Terrible experience, would not recommend",5,16,37,1520516734
Very good quality and value for money,4,7,14,1520592487
Fast delivery and excellent quality,3,1,2,1520668241
Decent product for the price,4,33,42,1520743994
"Poor build quality, stopped working",2,10,30,1520819747
"Poor build quality, stopped working",5,2,5,1520895501
"Poor build quality, stopped working",4,1,2,1520971254
Decent product for the price,3,7,10,1521047008
Exceeded my expectations,4,5,14,1521122761
"Great product, works perfectly",4,20,44,1521198514
"Great product, works perfectly",1,13,27,1521274268
Decent product for the price,4,9,9,1521350021
Very good quality and value for money,2,25,37,1521425775
Packaging was damaged but product works,5,26,46,1521501528
"Great product, works perfectly",5,7,49,1521577281
"Terrible experience, would not recommend",5,38,49,1521653035
"Terrible experience, would not recommend",4,3,6,1521728788
Not satisfied with the quality,4,7,14,1521804542
"Terrible experience, would not recommend",2,1,17,1521880295
"Great product, works perfectly",5,15,17,1521956048
Packaging was damaged but product works,3,40,40,1522031802
Fast delivery and excellent quality,4,12,23,1522107555
"Poor build quality, stopped working",3,0,1,1522183308
Very good quality and value for money,2,11,39,1522259062
Fast delivery and excellent quality,4,16,19,1522334815
Packaging was damaged but product works,1,26,33,1522410569
Exceeded my expectations,5,1,42,1522486322
"Poor build quality, stopped working",3,12,25,1522562075
Not satisfied with the quality,1,0,6,1522637829
Exceeded my expectations,4,25,37,1522713582
"Great product, works perfectly",1,27,29,1522789336
Packaging was damaged but product works,3,18,41,1522865089
"Poor build quality, stopped working",5,2,4,1522940842
Not satisfied with the quality,1,4,10,1523016596
Very good quality and value for money,5,0,0,1523092349
Very good quality and value for money,1,32,33,1523168103
Decent product for the price,2,0,0,1523243856
"Great product, works perfectly",5,12,18,1523319609
"Terrible experience, would not recommend",3,1,1,1523395363
Packaging was damaged but product works,2,5,20,1523471116
Not satisfied with the quality,3,16,19,1523546870
Not satisfied with the quality,3,11,22,1523622623
"Terrible experience, would not recommend",5,0,20,1523698376
"Terrible experience, would not recommend",3,2,23,1523774130
Exceeded my expectations,5,1,3,1523849883
"Poor build quality, stopped working",5,9,11,1523925636
Exceeded my expectations,3,7,21,1524001390
"Average product, nothing special",5,10,19,1524077143
"Average product, nothing special",3,13,17,1524152897
"Great product, works perfectly",5,0,0,1524228650
Decent product for the price,1,7,29,1524304403
Packaging was damaged but product works,4,27,32,1524380157
Not satisfied with the quality,4,18,23,1524455910
"Poor build quality, stopped working",3,3,13,1524531664
Very good quality and value for money,4,15,35,1524607417
Very good quality and value for money,5,4,4,1524683170
Fast delivery and excellent quality,1,3,10,1524758924
"Terrible experience, would not recommend",2,18,23,1524834677
"Great product, works perfectly",5,4,30,1524910431
Fast delivery and excellent quality,4,6,12,1524986184
Fast delivery and excellent quality,5,4,15,1525061937
Decent product for the price,5,19,23,1525137691
Packaging was damaged but product works,5,7,12,1525213444
Not satisfied with the quality,5,3,23,1525289197
"Poor build quality, stopped working",3,1,25,1525364951
Very good quality and value for money,2,1,1,1525440704
Very good quality and value for money,5,12,15,1525516458
Very good quality and value for money,4,33,37,1525592211
"Average product, nothing special",1,18,45,1525667964
Packaging was damaged but product works,3,0,0,1525743718
"Great product, works perfectly",5,16,48,1525819471
Very good quality and value for money,4,4,10,1525895225
Decent product for the price,3,24,34,1525970978
Very good quality and value for money,4,17,42,1526046731
"Great product, works perfectly",2,27,28,1526122485
"Average product, nothing special",3,7,36,1526198238
Decent product for the price,3,14,16,1526273992
Fast delivery and excellent quality,1,12,38,1526349745
"Great product, works perfectly",5,15,41,1526425498
Fast delivery and excellent quality,3,21,27,1526501252
"Terrible experience, would not recommend",5,19,28,1526577005
Exceeded my expectations,5,12,42,1526652759
Very good quality and value for money,2,1,2,1526728512
"Great product, works perfectly",4,2,9,1526804265
Exceeded my expectations,4,18,41,1526880019
"Poor build quality, stopped working",5,12,13,1526955772
Decent product for the price,2,4,11,1527031525
Packaging was damaged but product works,4,5,46,1527107279
"Terrible experience, would not recommend",4,13,41,1527183032
"Poor build quality, stopped working",3,3,29,1527258786
"Poor build quality, stopped working",2,21,31,1527334539
"Terrible experience, would not recommend",4,18,31,1527410292
Fast delivery and excellent quality,5,38,41,1527486046
"Great product, works perfectly",3,3,31,1527561799
Not satisfied with the quality,4,1,25,1527637553
Very good quality and value for money,3,0,0,1527713306
Decent product for the price,5,26,41,1527789059
"Average product, nothing special",2,0,1,1527864813
"Great product, works perfectly",5,2,16,1527940566
Very good quality and value for money,3,14,29,1528016320
"Great product, works perfectly",3,32,38,1528092073
"Poor build quality, stopped working",1,1,6,1528167826
Not satisfied with the quality,2,9,26,1528243580
"Average product, nothing special",4,8,8,1528319333
"Great product, works perfectly",3,14,21,1528395087
Very good quality and value for money,5,23,33,1528470840
"Average product, nothing special",1,14,45,1528546593
"Average product, nothing special",3,30,48,1528622347
Packaging was damaged but product works,3,0,0,1528698100
Decent product for the price,1,5,8,1528773853
"Poor build quality, stopped working",2,13,19,1528849607
Packaging was damaged but product works,3,5,18,1528925360
Very good quality and value for money,4,13,35,1529001114
Very good quality and value for money,3,16,39,1529076867
Fast delivery and excellent quality,4,17,44,1529152620
"Great product, works perfectly",4,3,3,1529228374
"Great product, works perfectly",1,2,8,1529304127
Fast delivery and excellent quality,4,16,40,1529379881
Exceeded my expectations,5,15,21,1529455634
"Terrible experience, would not recommend",4,7,17,1529531387
"Great product, works perfectly",4,6,11,1529607141
"Terrible experience, would not recommend",3,31,41,1529682894
"Great product, works perfectly",5,8,42,1529758648
Decent product for the price,5,26,38,1529834401
Exceeded my expectations,4,3,8,1529910154
Not satisfied with the quality,5,0,5,1529985908
Exceeded my expectations,2,9,18,1530061661
Very good quality and value for money,1,16,47,1530137415
Fast delivery and excellent quality,5,35,46,1530213168
Very good quality and value for money,5,0,6,1530288921
Not satisfied with the quality,2,1,15,1530364675
Packaging was damaged but product works,3,3,4,1530440428
Very good quality and value for money,1,6,15,1530516181
Very good quality and value for money,3,0,0,1530591935
Very good quality and value for money,5,33,36,1530667688
"Average product, nothing special",4,7,38,1530743442
"Terrible experience, would not recommend",3,12,18,1530819195
Exceeded my expectations,3,22,36,1530894948
Packaging was damaged but product works,1,14,16,1530970702
Exceeded my expectations,3,19,25,1531046455
Decent product for the price,4,8,21,1531122209
"Terrible experience, would not recommend",5,2,7,1531197962
Packaging was damaged but product works,5,2,32,1531273715
Decent product for the price,1,1,1,1531349469
"Poor build quality, stopped working",5,0,29,1531425222
"Average product, nothing special",5,45,46,1531500976
Very good quality and value for money,5,16,19,1531576729
"Average product, nothing special",4,12,17,1531652482
Exceeded my expectations,3,18,42,1531728236
Packaging was damaged but product works,3,6,9,1531803989
Decent product for the price,1,14,23,1531879742
Not satisfied with the quality,2,2,3,1531955496
Decent product for the price,2,13,36,1532031249
"Average product, nothing special",4,1,3,1532107003
Very good quality and value for money,5,6,12,1532182756
Not satisfied with the quality,4,16,24,1532258509
Exceeded my expectations,1,1,12,1532334263
Not satisfied with the quality,5,5,17,1532410016
"Terrible experience, would not recommend",5,20,23,1532485770
"Poor build quality, stopped working",5,1,1,1532561523
Very good quality and value for money,5,27,47,1532637276
"Average product, nothing special",4,26,32,1532713030
Packaging was damaged but product works,5,1,18,1532788783
Fast delivery and excellent quality,1,0,8,1532864537
Not satisfied with the quality,3,15,27,1532940290
"Great product, works perfectly",2,21,34,1533016043
Fast delivery and excellent quality,2,12,38,1533091797
Exceeded my expectations,2,7,9,1533167550
"Great product, works perfectly",4,0,0,1533243304
"Great product, works perfectly",5,1,41,1533319057
"Great product, works perfectly",4,13,20,1533394810
Decent product for the price,2,7,8,1533470564
Fast delivery and excellent quality,5,37,46,1533546317
Exceeded my expectations,4,8,14,1533622070
"Average product, nothing special",3,27,34,1533697824
"Poor build quality, stopped working",4,1,4,1533773577
Exceeded my expectations,3,40,40,1533849331
"Average product, nothing special",3,3,21,1533925084
"Average product, nothing special",5,40,40,1534000837
"Great product, works perfectly",3,3,22,1534076591
Very good quality and value for money,4,3,6,1534152344
Fast delivery and excellent quality,5,3,22,1534228098
"Average product, nothing special",5,29,43,1534303851
Fast delivery and excellent quality,1,23,24,1534379604
"Terrible experience, would not recommend",2,19,26,1534455358
Decent product for the price,1,30,40,1534531111
"Poor build quality, stopped working",4,1,5,1534606865
"Terrible experience, would not recommend",3,12,33,1534682618
"Average product, nothing special",2,5,8,1534758371
Exceeded my expectations,5,7,48,1534834125
Fast delivery and excellent quality,4,4,32,1534909878
"Terrible experience, would not recommend",2,3,5,1534985632
Fast delivery and excellent quality,4,12,36,1535061385
Decent product for the price,4,28,30,1535137138
Exceeded my expectations,1,19,33,1535212892
"Terrible experience, would not recommend",3,13,40,1535288645
Fast delivery and excellent quality,5,27,28,1535364398
Exceeded my expectations,4,1,13,1535440152
"Great product, works perfectly",4,26,35,1535515905
Not satisfied with the quality,3,24,35,1535591659
"Great product, works perfectly",1,3,14,1535667412
"Poor build quality, stopped working",2,3,7,1535743165
"Average product, nothing special",3,20,25,1535818919
Very good quality and value for money,2,17,35,1535894672
Not satisfied with the quality,1,38,47,1535970426
"Average product, nothing special",5,14,20,1536046179
"Terrible experience, would not recommend",5,20,27,1536121932
"Poor build quality, stopped working",5,1,3,1536197686
Decent product for the price,5,15,15,1536273439
"Poor build quality, stopped working",2,19,21,1536349193
Fast delivery and excellent quality,5,7,11,1536424946
"Poor build quality, stopped working",2,7,15,1536500699
"Terrible experience, would not recommend",5,27,39,1536576453
Decent product for the price,5,20,37,1536652206
Decent product for the price,5,15,41,1536727959
Packaging was damaged but product works,5,15,36,1536803713
"Poor build quality, stopped working",4,2,28,1536879466
"Great product, works perfectly",3,16,17,1536955220
Packaging was damaged but product works,3,8,9,1537030973
Packaging was damaged but product works,4,34,41,1537106726
"Terrible experience, would not recommend",1,28,38,1537182480
Not satisfied with the quality,4,6,17,1537258233
"Great product, works perfectly",5,0,0,1537333987
Decent product for the price,2,17,38,1537409740
"Poor build quality, stopped working",5,11,20,1537485493
Packaging was damaged but product works,5,0,0,1537561247
"Average product, nothing special",5,2,14,1537637000
"Average product, nothing special",5,3,3,1537712754
Packaging was damaged but product works,4,16,19,1537788507
Fast delivery and excellent quality,5,3,9,1537864260
"Poor build quality, stopped working",5,14,22,1537940014
"Terrible experience, would not recommend",2,0,40,1538015767
Decent product for the price,4,1,33,1538091521
Packaging was damaged but product works,5,7,45,1538167274
"Great product, works perfectly",2,21,47,1538243027
Packaging was damaged but product works,4,24,32,1538318781
Exceeded my expectations,4,1,33,1538394534
Decent product for the price,2,8,38,1538470287
Not satisfied with the quality,4,8,9,1538546041
Decent product for the price,5,12,19,1538621794
"Great product, works perfectly",4,0,0,1538697548
Exceeded my expectations,1,5,12,1538773301
Not satisfied with the quality,1,0,0,1538849054
Very good quality and value for money,3,2,4,1538924808
"Great product, works perfectly",5,4,15,1539000561
"Average product, nothing special",2,14,14,1539076315
Fast delivery and excellent quality,4,6,48,1539152068
Decent product for the price,2,25,27,1539227821
Very good quality and value for money,3,10,30,1539303575
Exceeded my expectations,5,7,22,1539379328
Very good quality and value for money,5,37,47,1539455082
"Terrible experience, would not recommend",1,39,44,1539530835
"Poor build quality, stopped working",3,1,42,1539606588
Decent product for the price,1,15,16,1539682342
"Poor build quality, stopped working",4,38,48,1539758095
"Average product, nothing special",4,9,33,1539833849
Very good quality and value for money,2,11,12,1539909602
Exceeded my expectations,3,0,13,1539985355
"Average product, nothing special",3,6,10,1540061109
"Poor build quality, stopped working",5,21,27,1540136862
Very good quality and value for money,5,39,41,1540212615
"Average product, nothing special",1,6,31,1540288369
"Great product, works perfectly",5,3,34,1540364122
Packaging was damaged but product works,3,2,30,1540439876
Fast delivery and excellent quality,3,14,16,1540515629
Not satisfied with the quality,5,35,46,1540591382
"Great product, works perfectly",5,8,8,1540667136
"Average product, nothing special",5,8,9,1540742889
Exceeded my expectations,4,4,7,1540818643
"Terrible experience, would not recommend",3,17,20,1540894396
Packaging was damaged but product works,5,4,12,1540970149
Not satisfied with the quality,3,47,49,1541045903
"Great product, works perfectly",4,0,4,1541121656
"Terrible experience, would not recommend",3,3,5,1541197410
"Terrible experience, would not recommend",4,17,29,1541273163
"Terrible experience, would not recommend",2,7,30,1541348916
Packaging was damaged but product works,2,15,16,1541424670
Very good quality and value for money,5,4,10,1541500423
"Great product, works perfectly",2,10,19,1541576176
Very good quality and value for money,4,20,47,1541651930
Decent product for the price,2,2,8,1541727683
Packaging was damaged but product works,1,0,1,1541803437
"Terrible experience, would not recommend",1,34,36,1541879190
"Terrible experience, would not recommend",2,0,0,1541954943
Packaging was damaged but product works,5,3,3,1542030697
Decent product for the price,3,4,35,1542106450
Fast delivery and excellent quality,5,19,24,1542182204
Exceeded my expectations,4,0,2,1542257957
Fast delivery and excellent quality,3,7,8,1542333710
Very good quality and value for money,4,10,21,1542409464
Packaging was damaged but product works,4,15,22,1542485217
Exceeded my expectations,5,6,11,1542560971
Fast delivery and excellent quality,3,7,9,1542636724
Very good quality and value for money,3,20,33,1542712477
"Average product, nothing special",5,22,42,1542788231
"Poor build quality, stopped working",5,0,9,1542863984
Exceeded my expectations,5,5,29,1542939738
Not satisfied with the quality,3,14,21,1543015491
Exceeded my expectations,5,1,5,1543091244
Very good quality and value for money,4,29,49,1543166998
"Terrible experience, would not recommend",4,0,1,1543242751
Very good quality and value for money,2,29,29,1543318504
"Great product, works perfectly",4,0,1,1543394258
"Terrible experience, would not recommend",2,28,31,1543470011
Very good quality and value for money,3,37,41,1543545765
Fast delivery and excellent quality,5,12,15,1543621518
"Poor build quality, stopped working",2,4,11,1543697271
Very good quality and value for money,1,0,0,1543773025
Fast delivery and excellent quality,1,3,7,1543848778
Not satisfied with the quality,5,32,47,1543924532
"Great product, works perfectly",4,28,49,1544000285
"Average product, nothing special",3,1,12,1544076038
"Great product, works perfectly",5,14,14,1544151792
"Terrible experience, would not recommend",5,22,43,1544227545
"Poor build quality, stopped working",3,1,7,1544303299
"Great product, works perfectly",4,2,9,1544379052
Exceeded my expectations,5,36,45,1544454805
"Average product, nothing special",4,4,4,1544530559
"Terrible experience, would not recommend",2,44,49,1544606312
Exceeded my expectations,5,7,18,1544682066
"Terrible experience, would not recommend",4,21,46,1544757819
Exceeded my expectations,3,28,37,1544833572
Decent product for the price,3,1,10,1544909326
"Poor build quality, stopped working",1,40,42,1544985079
Fast delivery and excellent quality,2,16,19,1545060832
"Great product, works perfectly",5,17,19,1545136586
Not satisfied with the quality,1,12,20,1545212339
Exceeded my expectations,3,0,17,1545288093
Decent product for the price,4,43,49,1545363846
"Poor build quality, stopped working",1,3,9,1545439599
Not satisfied with the quality,5,20,33,1545515353
"Great product, works perfectly",2,4,25,1545591106
Decent product for the price,3,7,29,1545666860
Not satisfied with the quality,3,2,8,1545742613
"Average product, nothing special",2,5,45,1545818366
Packaging was damaged but product works,1,27,30,1545894120
"Terrible experience, would not recommend",5,18,41,1545969873
"Terrible experience, would not recommend",5,0,3,1546045627
Very good quality and value for money,2,1,5,1546121380
"Average product, nothing special",4,7,13,1546197133
Packaging was damaged but product works,5,0,3,1546272887
Very good quality and value for money,5,24,25,1546348640
Not satisfied with the quality,3,26,46,1546424393
Very good quality and value for money,3,6,47,1546500147
Exceeded my expectations,3,28,38,1546575900
"Average product, nothing special",5,11,16,1546651654
Decent product for the price,5,10,18,1546727407
Decent product for the price,2,35,48,1546803160
Packaging was damaged but product works,3,2,5,1546878914
"Great product, works perfectly",5,5,28,1546954667
Decent product for the price,5,8,10,1547030421
"Average product, nothing special",5,14,15,1547106174
"Poor build quality, stopped working",5,8,29,1547181927
"Terrible experience, would not recommend",3,19,24,1547257681
"Poor build quality, stopped working",4,9,39,1547333434
Very good quality and value for money,4,4,10,1547409188
Fast delivery and excellent quality,1,2,6,1547484941
Exceeded my expectations,4,12,25,1547560694
Fast delivery and excellent quality,5,8,21,1547636448
"Average product, nothing special",2,1,24,1547712201
Fast delivery and excellent quality,5,17,18,1547787955
"Poor build quality, stopped working",4,20,30,1547863708
"Great product, works perfectly",5,0,25,1547939461
"Average product, nothing special",1,23,41,1548015215
"Terrible experience, would not recommend",3,33,40,1548090968
Packaging was damaged but product works,4,8,35,1548166721
"Average product, nothing special",3,1,22,1548242475
Not satisfied with the quality,5,29,46,1548318228
"Terrible experience, would not recommend",5,5,12,1548393982
"Average product, nothing special",2,13,24,1548469735
Not satisfied with the quality,4,0,1,1548545488
"Terrible experience, would not recommend",4,0,1,1548621242
Very good quality and value for money,3,10,15,1548696995
Decent product for the price,5,0,8,1548772749
Exceeded my expectations,5,3,27,1548848502
Decent product for the price,4,12,12,1548924255
"Poor build quality, stopped working",5,6,34,1549000009
Packaging was damaged but product works,4,15,40,1549075762
Decent product for the price,5,0,12,1549151516
"Average product, nothing special",4,12,30,1549227269
Very good quality and value for money,5,0,20,1549303022
Fast delivery and excellent quality,5,10,31,1549378776
"Poor build quality, stopped working",3,5,33,1549454529
Decent product for the price,5,3,7,1549530283
"Great product, works perfectly",2,34,40,1549606036
Packaging was damaged but product works,3,43,47,1549681789
Fast delivery and excellent quality,3,0,1,1549757543
Exceeded my expectations,5,36,37,1549833296
"Average product, nothing special",5,8,31,1549909049
Very good quality and value for money,5,25,39,1549984803
"Terrible experience, would not recommend",5,25,27,1550060556
Decent product for the price,4,11,36,1550136310
"Great product, works perfectly",5,29,40,1550212063
Packaging was damaged but product works,4,0,0,1550287816
Exceeded my expectations,3,27,40,1550363570
Decent product for the price,2,9,9,1550439323
Exceeded my expectations,5,2,3,1550515077
Fast delivery and excellent quality,5,4,34,1550590830
Fast delivery and excellent quality,3,9,9,1550666583
"Poor build quality, stopped working",1,4,46,1550742337
Decent product for the price,5,8,10,1550818090
Very good quality and value for money,1,10,13,1550893844
Packaging was damaged but product works,5,27,37,1550969597
"Terrible experience, would not recommend",5,9,11,1551045350
"Terrible experience, would not recommend",3,26,44,1551121104
"Average product, nothing special",2,16,16,1551196857
"Average product, nothing special",5,9,15,1551272611
Packaging was damaged but product works,5,20,34,1551348364
Decent product for the price,4,0,1,1551424117
Decent product for the price,5,5,10,1551499871
Fast delivery and excellent quality,1,27,40,1551575624
"Great product, works perfectly",4,1,2,1551651377
"Average product, nothing special",5,25,28,1551727131
"Great product, works perfectly",5,14,17,1551802884
Decent product for the price,2,16,19,1551878638
"Average product, nothing special",5,25,46,1551954391
"Terrible experience, would not recommend",4,3,13,1552030144
Exceeded my expectations,3,24,33,1552105898
"Average product, nothing special",2,12,48,1552181651
Decent product for the price,5,0,30,1552257405
Decent product for the price,2,24,39,1552333158
Exceeded my expectations,3,7,41,1552408911
"Great product, works perfectly",3,4,17,1552484665
Packaging was damaged but product works,5,5,29,1552560418
Exceeded my expectations,4,22,24,1552636172
"Terrible experience, would not recommend",5,13,18,1552711925
Decent product for the price,3,5,7,1552787678
Very good quality and value for money,4,22,27,1552863432
"Terrible experience, would not recommend",4,2,7,1552939185
"Great product, works perfectly",5,30,30,1553014938
Exceeded my expectations,5,1,2,1553090692
Decent product for the price,1,2,2,1553166445
Decent product for the price,4,12,43,1553242199
Exceeded my expectations,1,11,21,1553317952
Packaging was damaged but product works,4,1,16,1553393705
Exceeded my expectations,3,34,35,1553469459
"Average product, nothing special",3,3,16,1553545212
Not satisfied with the quality,3,0,13,1553620966
Packaging was damaged but product works,4,5,8,1553696719
Not satisfied with the quality,3,5,29,1553772472
"Great product, works perfectly",5,6,20,1553848226
Fast delivery and excellent quality,3,10,11,1553923979
"Terrible experience, would not recommend",1,23,36,1553999733
"Poor build quality, stopped working",5,30,31,1554075486
Exceeded my expectations,3,2,10,1554151239
"Terrible experience, would not recommend",3,5,19,1554226993
"Poor build quality, stopped working",4,1,34,1554302746
"Great product, works perfectly",3,13,46,1554378500
"Great product, works perfectly",1,40,45,1554454253
Fast delivery and excellent quality,3,1,10,1554530006
Packaging was damaged but product works,5,2,7,1554605760
"Terrible experience, would not recommend",4,3,3,1554681513
"Terrible experience, would not recommend",4,12,26,1554757266
Exceeded my expectations,4,25,43,1554833020
"Great product, works perfectly",2,11,39,1554908773
"Poor build quality, stopped working",3,17,37,1554984527
Very good quality and value for money,5,8,46,1555060280
Fast delivery and excellent quality,2,16,29,1555136033
Packaging was damaged but product works,3,20,43,1555211787
Decent product for the price,3,47,47,1555287540
Very good quality and value for money,3,39,47,1555363294
"Average product, nothing special",5,10,26,1555439047
Not satisfied with the quality,1,1,20,1555514800
Fast delivery and excellent quality,4,7,19,1555590554
"Poor build quality, stopped working",2,3,3,1555666307
Very good quality and value for money,5,4,10,1555742061
"Poor build quality, stopped working",2,0,12,1555817814
Exceeded my expectations,3,6,8,1555893567
Fast delivery and excellent quality,5,0,3,1555969321
"Great product, works perfectly",5,5,11,1556045074
Packaging was damaged but product works,3,4,8,1556120828
"Poor build quality, stopped working",3,0,12,1556196581
"Terrible experience, would not recommend",3,13,47,1556272334
Very good quality and value for money,3,13,25,1556348088
"Terrible experience, would not recommend",2,15,37,1556423841
"Poor build quality, stopped working",4,37,41,1556499594
Very good quality and value for money,3,9,12,1556575348
"Great product, works perfectly",3,38,38,1556651101
Not satisfied with the quality,4,25,27,1556726855
Not satisfied with the quality,5,0,18,1556802608
Exceeded my expectations,4,14,23,1556878361
"Average product, nothing special",1,17,18,1556954115
Not satisfied with the quality,1,29,48,1557029868
"Average product, nothing special",5,11,12,1557105622
Very good quality and value for money,3,9,12,1557181375
Not satisfied with the quality,1,12,27,1557257128
"Poor build quality, stopped working",4,1,1,1557332882
"Great product, works perfectly",4,1,9,1557408635
"Poor build quality, stopped working",4,18,21,1557484389
"Poor build quality, stopped working",3,11,12,1557560142
"Average product, nothing special",1,8,8,1557635895
Decent product for the price,5,13,32,1557711649
Decent product for the price,3,5,13,1557787402
Packaging was damaged but product works,4,11,47,1557863155
Not satisfied with the quality,5,19,19,1557938909
"Great product, works perfectly",4,6,14,1558014662
"Great product, works perfectly",3,29,31,1558090416
"Terrible experience, would not recommend",3,29,32,1558166169
"Poor build quality, stopped working",4,5,16,1558241922
"Great product, works perfectly",5,8,23,1558317676
Very good quality and value for money,5,29,29,1558393429
Fast delivery and excellent quality,2,8,12,1558469183
"Poor build quality, stopped working",2,35,46,1558544936
"Average product, nothing special",5,33,47,1558620689
"Poor build quality, stopped working",5,15,15,1558696443
"Great product, works perfectly",5,1,1,1558772196
Exceeded my expectations,2,13,16,1558847950
